Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2018-01-01,0.12,99,London N. Kensington,-0.213492,51.52105
2018-01-02,0.18,99,London N. Kensington,-0.213492,51.52105
2018-01-03,0.11,99,London N. Kensington,-0.213492,51.52105
2018-01-04,0.13,99,London N. Kensington,-0.213492,51.52105
2018-01-05,0.2,99,London N. Kensington,-0.213492,51.52105
2018-01-06,0.2,99,London N. Kensington,-0.213492,51.52105
2018-01-07,0.095,99,London N. Kensington,-0.213492,51.52105
2018-01-08,0.15,99,London N. Kensington,-0.213492,51.52105
2018-01-09,0.2,99,London N. Kensington,-0.213492,51.52105
2018-01-10,0.3,99,London N. Kensington,-0.213492,51.52105
2018-01-11,0.2,99,London N. Kensington,-0.213492,51.52105
2018-01-12,0.17,99,London N. Kensington,-0.213492,51.52105
2018-01-13,0.12,99,London N. Kensington,-0.213492,51.52105
2018-01-14,0.12,99,London N. Kensington,-0.213492,51.52105
2018-01-15,,99,London N. Kensington,-0.213492,51.52105
2018-01-16,0.13,99,London N. Kensington,-0.213492,51.52105
2018-01-17,0.12,99,London N. Kensington,-0.213492,51.52105
2018-01-18,0.11,99,London N. Kensington,-0.213492,51.52105
2018-01-19,0.12,99,London N. Kensington,-0.213492,51.52105
2018-01-20,0.13,99,London N. Kensington,-0.213492,51.52105
2018-01-21,0.19,99,London N. Kensington,-0.213492,51.52105
2018-01-22,0.14,99,London N. Kensington,-0.213492,51.52105
2018-01-23,0.1,99,London N. Kensington,-0.213492,51.52105
2018-01-24,0.11,99,London N. Kensington,-0.213492,51.52105
2018-01-25,0.13,99,London N. Kensington,-0.213492,51.52105
2018-01-26,0.18,99,London N. Kensington,-0.213492,51.52105
2018-01-27,0.14,99,London N. Kensington,-0.213492,51.52105
2018-01-28,0.099,99,London N. Kensington,-0.213492,51.52105
2018-01-29,0.14,99,London N. Kensington,-0.213492,51.52105
2018-01-30,0.25,99,London N. Kensington,-0.213492,51.52105
2018-01-31,0.11,99,London N. Kensington,-0.213492,51.52105
2018-02-01,0.12,99,London N. Kensington,-0.213492,51.52105
2018-02-02,0.18,99,London N. Kensington,-0.213492,51.52105
2018-02-03,0.15,99,London N. Kensington,-0.213492,51.52105
2018-02-04,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-05,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-06,0.15,99,London N. Kensington,-0.213492,51.52105
2018-02-07,0.2,99,London N. Kensington,-0.213492,51.52105
2018-02-08,0.2,99,London N. Kensington,-0.213492,51.52105
2018-02-09,0.11,99,London N. Kensington,-0.213492,51.52105
2018-02-10,0.12,99,London N. Kensington,-0.213492,51.52105
2018-02-11,0.1,99,London N. Kensington,-0.213492,51.52105
2018-02-12,0.14,99,London N. Kensington,-0.213492,51.52105
2018-02-13,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-14,0.14,99,London N. Kensington,-0.213492,51.52105
2018-02-15,0.14,99,London N. Kensington,-0.213492,51.52105
2018-02-16,0.18,99,London N. Kensington,-0.213492,51.52105
2018-02-17,0.22,99,London N. Kensington,-0.213492,51.52105
2018-02-18,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-19,0.14,99,London N. Kensington,-0.213492,51.52105
2018-02-20,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-21,0.14,99,London N. Kensington,-0.213492,51.52105
2018-02-22,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-23,0.13,99,London N. Kensington,-0.213492,51.52105
2018-02-24,0.11,99,London N. Kensington,-0.213492,51.52105
2018-02-25,0.1,99,London N. Kensington,-0.213492,51.52105
2018-02-26,0.12,99,London N. Kensington,-0.213492,51.52105
2018-02-27,0.15,99,London N. Kensington,-0.213492,51.52105
2018-02-28,0.12,99,London N. Kensington,-0.213492,51.52105
2018-03-01,0.15,99,London N. Kensington,-0.213492,51.52105
2018-03-02,0.22,99,London N. Kensington,-0.213492,51.52105
2018-03-03,0.33,99,London N. Kensington,-0.213492,51.52105
2018-03-04,0.18,99,London N. Kensington,-0.213492,51.52105
2018-03-05,0.13,99,London N. Kensington,-0.213492,51.52105
2018-03-06,,99,London N. Kensington,-0.213492,51.52105
2018-03-07,,99,London N. Kensington,-0.213492,51.52105
2018-03-08,,99,London N. Kensington,-0.213492,51.52105
2018-03-09,,99,London N. Kensington,-0.213492,51.52105
2018-03-10,0.094,99,London N. Kensington,-0.213492,51.52105
2018-03-11,0.16,99,London N. Kensington,-0.213492,51.52105
2018-03-12,0.11,99,London N. Kensington,-0.213492,51.52105
2018-03-13,0.12,99,London N. Kensington,-0.213492,51.52105
2018-03-14,0.099,99,London N. Kensington,-0.213492,51.52105
2018-03-15,0.12,99,London N. Kensington,-0.213492,51.52105
2018-03-16,0.13,99,London N. Kensington,-0.213492,51.52105
2018-03-17,0.085,99,London N. Kensington,-0.213492,51.52105
2018-03-18,0.089,99,London N. Kensington,-0.213492,51.52105
2018-03-19,0.083,99,London N. Kensington,-0.213492,51.52105
2018-03-20,0.096,99,London N. Kensington,-0.213492,51.52105
2018-03-21,0.13,99,London N. Kensington,-0.213492,51.52105
2018-03-22,0.091,99,London N. Kensington,-0.213492,51.52105
2018-03-23,0.09,99,London N. Kensington,-0.213492,51.52105
2018-03-24,0.12,99,London N. Kensington,-0.213492,51.52105
2018-03-25,0.16,99,London N. Kensington,-0.213492,51.52105
2018-03-26,0.13,99,London N. Kensington,-0.213492,51.52105
2018-03-27,0.13,99,London N. Kensington,-0.213492,51.52105
2018-03-28,0.11,99,London N. Kensington,-0.213492,51.52105
2018-03-29,0.14,99,London N. Kensington,-0.213492,51.52105
2018-03-30,0.1,99,London N. Kensington,-0.213492,51.52105
2018-03-31,0.084,99,London N. Kensington,-0.213492,51.52105
2018-04-01,0.098,99,London N. Kensington,-0.213492,51.52105
2018-04-02,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-03,0.098,99,London N. Kensington,-0.213492,51.52105
2018-04-04,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-05,0.094,99,London N. Kensington,-0.213492,51.52105
2018-04-06,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-07,0.14,99,London N. Kensington,-0.213492,51.52105
2018-04-08,0.14,99,London N. Kensington,-0.213492,51.52105
2018-04-09,0.15,99,London N. Kensington,-0.213492,51.52105
2018-04-10,0.15,99,London N. Kensington,-0.213492,51.52105
2018-04-11,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-12,0.12,99,London N. Kensington,-0.213492,51.52105
2018-04-13,0.14,99,London N. Kensington,-0.213492,51.52105
2018-04-14,0.22,99,London N. Kensington,-0.213492,51.52105
2018-04-15,0.16,99,London N. Kensington,-0.213492,51.52105
2018-04-16,0.11,99,London N. Kensington,-0.213492,51.52105
2018-04-17,0.1,99,London N. Kensington,-0.213492,51.52105
2018-04-18,0.2,99,London N. Kensington,-0.213492,51.52105
